257,89530.01,462
870,296888.9,838
680,224436.7,153
690,229449.44,134
921,307545.34,178
891,290378.8,127
918,307590.34,1231
880,295176.25,114
759,251860.53,459
571,184340.62,623
899,285186.3,179
868,282450.8,99
865,280090.44,109
850,280129.3,112
849,276997.7,169
866,287767.47,98
935,313094.66,117
470,161322.9,132
882,289772.66,139
892,297688.03,106
902,288967.22,115
947,315980.84,128
892,295736.06,97
455,146063.56,68
931,298465.06,137
858,282623.6,103
851,290726.38,83
853,282227.22,364
850,285466.62,1448
861,287050.66,597
555,179423.95,310
15,4848.4404,40
