242,11
847,5281
853,5300
439,5156
844,5196
852,5678
958,5967
904,5937
888,5278
878,6005
450,204
943,6455
907,6059
930,5973
866,5451
536,5286
766,5257
856,5458
901,5504
856,5276
861,5259
867,5463
933,6595
656,5906
719,6606
919,8576
786,7120
1086,5872
876,5947
466,521
922,6426
942,6636
949,5458
860,5378
856,5201
436,5245
873,5253
855,5202
859,5878
945,5881
917,6142
676,5891
761,5619
896,5770
891,6182
1034,6896
447,706
922,6078
902,5247
860,5412
868,5293
854,5276
854,5360
860,5321
859,5569
870,5373
876,5385
420,398
892,5363
872,5714
815,5360
369,5108
