1358,4445
918,6373
895,5700
899,5444
875,5877
922,5794
539,5369
783,5451
863,5750
890,5246
854,5158
857,5278
855,5336
869,5454
857,5355
912,5669
905,5983
444,303
890,5578
895,5566
873,5580
861,5663
874,5279
878,5910
571,5497
813,5571
941,6191
887,7243
1004,5552
447,607
909,5541
883,5549
981,6891
911,5709
442,406
896,6275
981,6316
913,5872
913,5951
451,511
933,5894
914,5547
862,5575
877,5268
864,5306
865,5362
863,5739
460,171
1116,8575
592,5768
937,7096
926,6167
965,6068
447,202
892,5649
905,6748
981,6525
920,5275
430,181
289,101
