35,11636.679,330
452,149307.67,167
865,284885.88,147
879,284879.78,88
893,289279.25,86
889,295157.3,67
854,286134.72,81
853,283991.7,61
526,174098.89,46
427,140478.78,66
754,250626.05,80
856,283211.2,73
862,287162.28,96
865,292274.2,102
858,284135.34,94
851,272826.16,78
850,282460.06,92
849,287205.06,126
888,290471.78,79
947,309231.44,132
939,305502.1,104
932,306261.22,90
949,318542.47,136
673,226286.27,65
445,148262.06,56
703,231854.69,200
893,287850.1,68
869,284361.12,56
866,287401.4,67
866,282509.7,58
882,290920.47,86
911,305939.0,66
902,302339.2,69
868,282140.56,53
855,271187.8,56
850,274362.38,52
859,280288.2,99
861,276364.56,81
878,283202.97,94
877,285530.8,56
850,277294.34,55
850,282712.84,96
850,282186.25,119
861,276954.66,146
865,279578.3,54
629,209669.03,69
426,142500.42,64
796,262285.53,72
1008,331966.06,909
863,281571.06,664
855,273108.25,71
885,285407.8,55
912,299688.84,53
894,292535.53,53
876,281677.94,58
864,282501.3,60
852,278291.03,52
727,237202.6,47
455,155396.8,59
615,199665.06,58
903,296257.22,469
942,307114.97,5615
599,188622.83,24
100,31162.205,36
8,2365.2,44
382,127315.94,108
1955,651270.94,124
2120,712302.8,89
968,331043.06,62
864,295240.66,52
881,293530.2,88
907,293816.66,56
561,183982.64,55
460,149501.67,42
798,260326.31,60
863,285855.3,2916
906,291061.94,1126
481,149547.16,28
200,66773.516,2407
200,66773.516,24
100,35105.484,1947
706,235958.72,88
2438,801877.75,141
2288,756687.4,68
882,288420.25,63
862,275286.75,48
445,145221.22,36
422,141705.08,46
848,283154.88,48
859,282447.03,49
858,282098.12,63
866,283600.06,48
870,287105.72,50
897,301394.97,53
897,300340.94,65
912,298384.53,51
968,312518.2,60
959,311245.84,58
470,152549.06,35
444,142162.62,92
910,289273.97,96
937,309657.38,72
929,307476.66,60
964,319099.62,57
972,328354.25,74
898,298796.44,49
853,289119.16,50
851,286600.7,54
851,283079.2,75
851,283460.62,75
850,277089.34,48
850,274175.8,48
851,275431.22,47
851,280163.22,49
850,281534.88,78
725,240275.05,41
426,143435.42,31
610,203792.64,105
917,299815.5,46
904,297527.9,61
919,305184.1,46
514,168629.84,40
66,22865.486,24
