2167261616426,20,7418.719,552
1372272925406,28,8053.6807,553
1016632378290,13,4042.3599,553
1742462460194,11,2339.0002,555
1967324274043,19,6709.9204,556
1913940448265,16,4936.1597,556
1337178905827,11,4012.44,557
1220082247036,9,2142.48,557
1727935415836,17,6459.5996,557
1818048779732,20,7642.52,557
2167261616426,26,8782.68,190
1372272925406,28,8690.039,191
1016632378290,24,8405.24,192
1742462460194,27,8981.44,193
1967324274043,22,7637.079,193
1913940448265,21,6989.04,193
1337178905827,16,4410.56,193
1220082247036,9,3242.84,193
1727935415836,18,6907.921,194
1818048779732,18,5741.12,194
