1535001460000 ms,2167261616426,58,18027.643,622
1535001460000 ms,1372272925406,57,19174.523,622
1535001460000 ms,1016632378290,53,16132.959,622
1535001460000 ms,1742462460194,68,20678.117,622
1535001460000 ms,1967324274043,55,17610.117,623
1535001460000 ms,1913940448265,62,19613.56,623
1535001460000 ms,1337178905827,26,9205.12,623
1535001460000 ms,1220082247036,32,9310.321,623
1535001460000 ms,1727935415836,39,12971.761,623
1535001460000 ms,1818048779732,55,18360.842,623
1535001470000 ms,2167261616426,92,31044.203,300
1535001470000 ms,1372272925406,117,37544.844,300
1535001470000 ms,1016632378290,115,39734.273,300
1535001470000 ms,1742462460194,96,32294.291,300
1535001470000 ms,1967324274043,121,39546.277,300
1535001470000 ms,1913940448265,108,35213.164,300
1535001470000 ms,1337178905827,60,21551.6,300
1535001470000 ms,1220082247036,52,15444.919,301
1535001470000 ms,1727935415836,99,34653.24,301
1535001470000 ms,1818048779732,85,28252.994,301
1535001480000 ms,2167261616426,97,33727.367,177
1535001480000 ms,1372272925406,109,36501.914,178
1535001480000 ms,1016632378290,104,32419.875,178
1535001480000 ms,1742462460194,97,32958.113,179
1535001480000 ms,1967324274043,89,30525.922,179
1535001480000 ms,1913940448265,102,33210.72,179
1535001480000 ms,1337178905827,61,21080.12,180
1535001480000 ms,1220082247036,45,14669.721,180
1535001480000 ms,1727935415836,101,32678.281,180
1535001480000 ms,1818048779732,93,35059.797,180
1535001490000 ms,2167261616426,110,37651.08,223
1535001490000 ms,1372272925406,99,33994.67,224
1535001490000 ms,1016632378290,81,27389.238,224
1535001490000 ms,1742462460194,92,33814.08,224
1535001490000 ms,1967324274043,126,38853.875,224
1535001490000 ms,1913940448265,103,34105.832,225
1535001490000 ms,1337178905827,43,13494.4795,225
1535001490000 ms,1220082247036,36,12866.757,225
1535001490000 ms,1727935415836,115,38211.445,225
1535001490000 ms,1818048779732,83,24212.604,225
1535001500000 ms,2167261616426,66,21567.64,176
1535001500000 ms,1372272925406,74,25477.998,177
1535001500000 ms,1016632378290,81,26077.639,177
1535001500000 ms,1742462460194,60,18082.559,177
1535001500000 ms,1967324274043,71,20177.076,178
1535001500000 ms,1913940448265,65,20633.6,179
1535001500000 ms,1337178905827,33,12830.801,179
1535001500000 ms,1220082247036,38,12118.241,179
1535001500000 ms,1727935415836,81,27611.68,180
1535001500000 ms,1818048779732,66,20626.04,180
1535001510000 ms,2167261616426,74,22536.887,287
1535001510000 ms,1372272925406,75,25584.402,289
1535001510000 ms,1016632378290,75,24248.242,290
1535001510000 ms,1742462460194,75,24479.643,291
1535001510000 ms,1967324274043,88,30218.562,291
1535001510000 ms,1913940448265,77,25315.314,292
1535001510000 ms,1337178905827,44,12753.5625,293
1535001510000 ms,1220082247036,39,11624.123,293
1535001510000 ms,1727935415836,67,22049.365,294
1535001510000 ms,1818048779732,91,31423.32,295
1535001520000 ms,2167261616426,39,13294.68,106
1535001520000 ms,1372272925406,36,12058.199,107
1535001520000 ms,1016632378290,47,15184.0,108
1535001520000 ms,1742462460194,28,8474.121,108
1535001520000 ms,1967324274043,42,12844.68,108
1535001520000 ms,1913940448265,31,8458.199,108
1535001520000 ms,1337178905827,20,6259.96,108
1535001520000 ms,1220082247036,11,3405.9602,108
1535001520000 ms,1727935415836,42,14610.841,108
1535001520000 ms,1818048779732,39,12952.081,108
