1535343990000 ms,2167261616426,62,21270.324,1087
1535343990000 ms,1372272925406,59,21201.564,1088
1535343990000 ms,1016632378290,74,23014.12,1088
1535343990000 ms,1742462460194,62,19325.682,1088
1535343990000 ms,1967324274043,45,13541.641,1088
1535343990000 ms,1913940448265,65,22168.402,1088
1535343990000 ms,1337178905827,25,8363.96,1088
1535343990000 ms,1220082247036,36,10981.881,1088
1535343990000 ms,1727935415836,57,17582.959,1088
1535343990000 ms,1818048779732,71,25383.32,1088
1535344000000 ms,2167261616426,70,23250.68,261
1535344000000 ms,1372272925406,101,31826.912,261
1535344000000 ms,1016632378290,98,32327.602,261
1535344000000 ms,1742462460194,101,34316.207,261
1535344000000 ms,1967324274043,101,33869.996,261
1535344000000 ms,1913940448265,77,25659.152,261
1535344000000 ms,1337178905827,41,11527.199,261
1535344000000 ms,1220082247036,40,13034.399,261
1535344000000 ms,1727935415836,110,35064.12,261
1535344000000 ms,1818048779732,102,32769.637,261
1535344010000 ms,2167261616426,79,26466.158,173
1535344010000 ms,1372272925406,53,15954.601,173
1535344010000 ms,1016632378290,63,22269.6,173
1535344010000 ms,1742462460194,66,23002.117,173
1535344010000 ms,1967324274043,73,23108.006,173
1535344010000 ms,1913940448265,63,20430.678,173
1535344010000 ms,1337178905827,42,12387.64,173
1535344010000 ms,1220082247036,32,12065.92,173
1535344010000 ms,1727935415836,73,23914.756,173
1535344010000 ms,1818048779732,90,30368.594,173
1535344020000 ms,2167261616426,74,24545.201,164
1535344020000 ms,1372272925406,82,27988.562,165
1535344020000 ms,1016632378290,96,30631.836,165
1535344020000 ms,1742462460194,73,23545.4,165
1535344020000 ms,1967324274043,79,29375.643,165
1535344020000 ms,1913940448265,84,28520.844,165
1535344020000 ms,1337178905827,37,12212.0,165
1535344020000 ms,1220082247036,26,7628.479,165
1535344020000 ms,1727935415836,64,21616.398,165
1535344020000 ms,1818048779732,91,27543.766,165
1535344030000 ms,2167261616426,117,38612.445,177
1535344030000 ms,1372272925406,85,28469.482,177
1535344030000 ms,1016632378290,86,27149.88,177
1535344030000 ms,1742462460194,99,32909.203,177
1535344030000 ms,1967324274043,107,33783.523,178
1535344030000 ms,1913940448265,95,30780.28,178
1535344030000 ms,1337178905827,50,15622.083,178
1535344030000 ms,1220082247036,48,15671.282,178
1535344030000 ms,1727935415836,92,29151.234,186
1535344030000 ms,1818048779732,107,35810.402,186
1535344040000 ms,2167261616426,94,29619.76,161
1535344040000 ms,1372272925406,107,35166.848,161
1535344040000 ms,1016632378290,105,35518.875,162
1535344040000 ms,1742462460194,87,31005.162,162
1535344040000 ms,1967324274043,105,35350.0,162
1535344040000 ms,1913940448265,114,38838.52,162
1535344040000 ms,1337178905827,41,13622.398,162
1535344040000 ms,1220082247036,50,16722.836,162
1535344040000 ms,1727935415836,102,31298.953,162
