723,243269.58,148
869,286486.22,79
854,287815.7,64
847,277928.94,136
896,299985.9,183
872,285692.38,68
565,182336.38,155
789,261043.1,38
837,274925.6,201
1260,406154.28,151
421,139348.16,207
850,279478.8,255
831,277587.16,22
841,274230.34,179
888,295981.72,105
860,281048.88,170
861,287122.62,228
898,299329.12,203
864,284640.78,168
546,189707.84,241
784,261253.5,101
884,294691.22,216
868,285329.25,103
897,294758.88,186
841,274484.7,47
841,270076.03,195
841,279004.8,59
840,279019.4,220
840,271807.72,179
807,265771.06,10
